cardholder_id,Recency,Frequency,Monetary
365_1,32,1,2900.0
366_1,39,1,1100.0
367_1,35,1,2400.0
368_1,31,3,6416.0
369_1,31,1,1410.0
370_1,43,1,1285.0
371_1,41,1,3289.0
372_1,43,1,970.0
373_1,46,1,2190.0
374_1,42,3,2452.0
375_1,31,1,500.0
376_1,31,2,1250.0
377_1,32,2,3090.0
378_1,47,1,480.0
379_1,41,1,380.0
380_1,45,1,2110.0
381_1,33,4,8988.0
382_1,32,1,1992.0
383_1,40,1,430.0
384_1,42,1,1140.0
385_1,35,1,2438.0
386_1,46,1,580.0
387_1,38,1,2010.0
388_1,42,1,516.0
389_1,46,1,2280.0
390_1,29,1,1060.0
391_1,43,1,790.0
392_1,41,1,810.0
393_1,41,6,5730.0
394_1,31,1,1350.0
395_1,31,1,660.0
396_1,37,2,3015.0
397_1,30,2,360.0
398_1,41,1,1165.0
399_1,43,1,100.0
400_1,43,1,2859.0
401_1,40,3,2539.0
402_1,31,3,2280.0
403_1,30,1,1120.0
404_1,43,1,1037.0
405_1,32,2,1430.0
406_1,38,1,1800.0
407_1,33,1,420.0
408_1,38,1,2739.0
409_1,39,1,160.0
410_1,39,2,5190.0
411_1,40,2,5150.0
412_1,43,1,1880.0
413_1,43,2,1360.0
414_1,40,1,2671.0
415_1,46,2,2935.0
416_1,29,1,3165.0
417_1,46,1,1880.0
418_1,38,2,3250.0
419_1,39,1,940.0
420_1,35,1,890.0
421_1,32,1,1484.0
422_1,29,1,1069.0
423_1,35,1,1208.0
424_1,38,1,860.0
425_1,31,3,2100.0
426_1,32,1,880.0
427_1,33,1,470.0
428_1,38,1,2932.0
429_1,42,1,781.0
430_1,41,1,670.0
431_1,38,1,110.0
432_1,32,1,770.0
433_1,31,1,600.0
434_1,41,3,3350.0
435_1,29,1,700.0
436_1,29,2,2080.0
437_1,37,2,1280.0
438_1,32,2,2390.0
439_1,36,1,1738.0
440_1,38,1,1590.0
441_1,31,3,5190.0
442_1,39,1,3220.0
443_1,31,2,510.0
444_1,41,1,890.0
445_1,41,1,725.0
446_1,39,1,1700.0
447_1,29,1,1030.0
448_1,34,3,360.0
449_1,38,1,1170.0
450_1,32,1,800.0
451_1,43,1,710.0
452_1,32,1,2130.0
453_1,42,1,1000.0
454_1,44,4,1605.0
455_1,35,1,610.0
456_1,42,1,879.0
457_1,47,2,2510.0
458_1,29,1,1349.0
459_1,45,1,2410.0
460_1,39,1,1661.0
461_1,33,2,460.0
462_1,45,1,2156.0
463_1,40,1,1385.0
464_1,33,1,2420.0
465_1,38,1,2176.0
466_1,33,2,1590.0
467_1,38,1,3180.0
468_1,29,2,3020.0
469_1,31,1,430.0
470_1,36,1,1820.0
471_1,32,1,2870.0
472_1,33,1,1530.0
473_1,46,1,1140.0
474_1,39,1,730.0
475_1,41,1,2029.0
476_1,43,1,930.0
477_1,43,1,580.0
478_1,35,1,150.0
479_1,30,1,1298.0
480_1,46,1,960.0
481_1,36,1,850.0
482_1,30,5,3410.0
483_1,32,5,3460.0
484_1,46,1,1180.0
485_1,31,3,4430.0
486_1,33,1,140.0
487_1,48,1,260.0
488_1,41,1,770.0
489_1,32,1,910.0
490_1,43,1,1030.0
491_1,29,2,2470.0
492_1,32,1,1730.0
493_1,38,1,300.0
494_1,38,2,1880.0
495_1,39,3,3700.0
496_1,38,1,969.0
497_1,48,1,1170.0
498_1,31,2,5060.0
499_1,32,5,2500.0
500_1,42,2,1650.0
501_1,42,1,960.0
502_1,47,1,920.0
503_1,42,1,1960.0
504_1,45,1,2510.0
505_1,36,1,1700.0
506_1,41,1,730.0
507_1,45,1,1240.0
508_1,45,1,200.0
509_1,30,2,1170.0
510_1,38,1,1080.0
511_1,32,2,2707.0
512_1,28,1,530.0
513_1,29,1,924.0
514_1,38,2,3620.0
515_1,31,1,2860.0
516_1,39,1,1100.0
517_1,34,3,2830.0
518_1,43,1,1390.0
519_1,31,1,300.0
520_1,44,1,2148.0
521_1,40,1,620.0
522_1,32,1,1981.0
523_1,33,1,2190.0
524_1,32,3,4796.0
525_1,38,1,1340.0
526_1,31,1,880.0
527_1,46,1,1970.0
528_1,39,1,290.0
529_1,36,1,800.0
530_1,32,1,860.0
531_1,35,2,2360.0
532_1,30,1,4590.0
533_1,44,1,620.0
534_1,45,2,2230.0
535_1,31,2,5940.0
536_1,31,1,1257.0
537_1,43,2,3296.0
538_1,32,1,1750.0
539_1,41,1,1240.0
540_1,31,1,2306.0
541_1,29,1,516.0
542_1,43,1,570.0
543_1,41,1,700.0
544_1,31,1,820.0
545_1,42,1,930.0
546_1,32,1,2959.0
547_1,33,1,620.0
548_1,31,1,2138.0
549_1,41,1,430.0
550_1,46,1,2290.0
551_1,37,3,2364.0
552_1,31,1,980.0
553_1,47,1,2230.0
554_1,32,1,1571.0
555_1,39,1,1360.0
556_1,38,1,1000.0
557_1,39,1,960.0
558_1,46,1,3150.0
559_1,42,1,700.0
560_1,39,1,2990.0
561_1,41,1,730.0
562_1,30,5,2514.0
563_1,42,1,2750.0
564_1,45,2,2980.0
565_1,41,2,3450.0
566_1,32,1,1500.0
567_1,32,1,1490.0
568_1,32,3,1790.0
569_1,46,1,970.0
570_1,32,4,6569.0
571_1,30,1,1177.0
572_1,41,1,2539.0
573_1,44,1,700.0
574_1,33,1,3380.0
575_1,38,1,870.0
576_1,32,1,1830.0
577_1,29,1,1904.0
578_1,31,1,530.0
579_1,36,1,2290.0
580_1,39,1,3470.0
581_1,39,1,825.0
582_1,41,4,2903.0
583_1,41,1,130.0
584_1,43,1,790.0
585_1,31,1,3530.0
586_1,48,1,545.0
587_1,35,1,940.0
588_1,33,1,520.0
589_1,34,1,820.0
590_1,43,1,879.0
591_1,44,1,950.0
592_1,37,2,3520.0
593_1,45,1,1670.0
594_1,33,2,2717.0
595_1,38,1,3500.0
596_1,38,3,2500.0
597_1,32,2,4230.0
598_1,31,1,2260.0
599_1,46,1,2400.0
600_1,43,1,790.0
601_1,46,1,2330.0
602_1,31,2,1940.0
603_1,39,1,2520.0
604_1,43,1,670.0
605_1,31,2,3400.0
606_1,29,2,1898.0
607_1,31,1,750.0
608_1,46,1,2780.0
609_1,38,1,1730.0
610_1,38,1,6204.0
611_1,31,1,770.0
612_1,46,1,140.0
613_1,29,2,790.0
614_1,30,1,759.0
615_1,39,4,6590.0
616_1,33,2,290.0
617_1,33,3,5346.0
618_1,37,2,3870.0
619_1,43,1,640.0
620_1,39,1,1780.0
621_1,31,4,4380.0
622_1,32,1,1400.0
623_1,36,1,1410.0
624_1,31,2,2300.0
625_1,39,1,620.0
626_1,36,1,1188.0
627_1,41,1,890.0
628_1,45,1,400.0
629_1,42,1,5750.0
630_1,29,3,1010.0
631_1,36,2,1430.0
632_1,43,1,160.0
633_1,32,3,2130.0
634_1,44,2,1180.0
635_1,38,1,2230.0
636_1,37,1,870.0
637_1,41,1,1595.0
638_1,38,1,1640.0
639_1,43,1,2835.0
640_1,38,1,1840.0
641_1,46,1,1060.0
642_1,45,2,2410.0
643_1,40,1,470.0
644_1,31,2,3659.0
645_1,42,1,1100.0
646_1,31,2,4303.0
647_1,40,1,650.0
648_1,45,1,1420.0
649_1,38,2,2981.0
650_1,32,1,2620.0
651_1,36,2,2570.0
652_1,40,2,3340.0
653_1,39,1,2332.0
654_1,31,1,1910.0
655_1,43,1,550.0
656_1,31,3,2360.0
657_1,32,1,2387.0
